title,cuisine,meal_type,servings,prepTime,cookingTime,difficulty,calories,image,description,dietary_tags,ingredients,instructions
Classic Rakhine Eggplant Stew,Myanmar,dinner,4,25,30,Medium,,,"A comforting Rakhine-style eggplant stew with dried shrimp, aromatics, and a rich blend of spices, simmered gently to bring out full flavors.","[""pescatarian"",""spicy""]","[{""name"":""Eggplant (sliced, green/red/purple)"",""amount"":""as desired""},{""name"":""Dried shrimp (soaked)"",""amount"":""as needed""},{""name"":""Red onion"",""amount"":""3, sliced""},{""name"":""Garlic (crushed)"",""amount"":""4 cloves""},{""name"":""Rakhine chili (sliced)"",""amount"":""as desired""},{""name"":""Oil"",""amount"":""as needed""},{""name"":""Shrimp paste"",""amount"":""a little""},{""name"":""Salt"",""amount"":""to taste""},{""name"":""Seasoning powder"",""amount"":""to taste""},{""name"":""Tamarind or coloring powder"",""amount"":""optional""},{""name"":""Cilantro"",""amount"":""for garnish""}]","[""Before cooking, mix chili, crushed garlic, sliced red onion, soaked dried shrimp, salt, seasoning powder, and optional coloring/tamarind in a pot."",""Add sliced eggplant and mix well."",""Add a little shrimp paste, generous oil, and about half a cup of water; simmer over medium heat."",""Stir occasionally to prevent sticking."",""Once eggplant is tender, lower heat and cook until oil rises and pot emits a fragrant aroma."",""Finally, garnish with cilantro before serving."",""Tip: Use enough oil to allow the pot to 'sing' and a little hot water at a time to retain full flavor.""]"
Rakhine Fish Barrel & Eggplant Curry,Myanmar,dinner,4,15,25,Medium,,,"A traditional Rakhine-style curry using canned fish and eggplant, seasoned with green chilies, onion, and aromatic spices for a balanced savory and spicy flavor.","[""pescatarian"",""spicy""]","[{""name"":""Canned fish (with oil)"",""amount"":""1 can""},{""name"":""Eggplant (sliced and washed)"",""amount"":""as desired""},{""name"":""Red onion"",""amount"":""1, sliced""},{""name"":""Green chili (pounded)"",""amount"":""to taste""},{""name"":""Cilantro"",""amount"":""for garnish""},{""name"":""Shrimp paste"",""amount"":""a little""},{""name"":""Salt"",""amount"":""to taste""},{""name"":""Seasoning powder"",""amount"":""to taste""},{""name"":""Sesame powder"",""amount"":""to taste""},{""name"":""Oil"",""amount"":""a little""}]","[""In a pot, add sliced eggplant, shrimp paste, salt, seasoning powder, sesame powder, and a little oil."",""Add sliced red onion and pounded green chili."",""Simmer until eggplant is tender."",""Open the canned fish and gently add it to the pot."",""Simmer briefly to heat through without breaking the fish pieces."",""Garnish with cilantro before serving."",""Tip: Stir gently after adding canned fish to keep pieces intact. Adjust green chili according to spice preference.""]"
Fried Eggplant Salad,Myanmar,dinner,2,15,20,Easy,,,"A crunchy, flavorful fried eggplant salad with garlic, green chilies, and ground peanuts, lightly seasoned for a savory snack.","[""vegetarian"",""spicy""]","[{""name"":""Eggplant (long, sliced lengthwise)"",""amount"":""1""},{""name"":""Red onion"",""amount"":""thinly sliced""},{""name"":""Cilantro"",""amount"":""for garnish""},{""name"":""Ground peanuts (washed)"",""amount"":""as needed""},{""name"":""Salt"",""amount"":""to taste""},{""name"":""Chili powder or green chili"",""amount"":""to taste""},{""name"":""Oil"",""amount"":""a little""}]","[""Heat a little oil in a pot and fry the eggplant until tender, turning occasionally."",""Add a little more oil and fry the sliced red onion until fragrant, then add chilies."",""Combine fried eggplant, onion, ground peanuts, salt, chili, and cilantro, mixing well."",""Adjust sweetness or spice to taste before serving."",""Tip: Use lightly pounded peanuts for a richer texture. Roasting green chilies before adding enhances aroma.""]"
Stuffed Eggplant with Pork,Myanmar,dinner,4,25,30,Medium,,,"Rakhine-style stuffed eggplant with seasoned pork, garlic, ginger, and green chilies, pan-fried and simmered with aromatic spices for a deliciously savory dish.","[""pork"",""spicy""]","[{""name"":""Eggplant (long or medium, sliced into pieces)"",""amount"":""as desired""},{""name"":""Minced pork"",""amount"":""about 30 pieces""},{""name"":""Red onion"",""amount"":""thinly sliced""},{""name"":""Garlic"",""amount"":""as needed""},{""name"":""Ginger"",""amount"":""as needed""},{""name"":""Green chili"",""amount"":""to taste""},{""name"":""Seasoning powder"",""amount"":""to taste""},{""name"":""Fish sauce or soy sauce"",""amount"":""to taste""},{""name"":""Oil"",""amount"":""as needed""},{""name"":""Rakhine chili or coloring powder"",""amount"":""optional""}]","[""Marinate minced pork with seasoning powder, fish sauce, ginger, and garlic paste."",""Prepare eggplant by slicing and partially cutting to hold the filling."",""Stuff marinated pork into eggplant slices carefully."",""Pan-fry stuffed eggplant with a little oil until golden and set aside."",""In the remaining oil, sauté red onion and sliced chili until fragrant."",""Return stuffed eggplant to the pan, add sautéed aromatics, and let flavors meld briefly."",""Serve hot once oil rises and aroma is strong."",""Tip: Adding a little egg or cornflour to the pork mix helps keep the filling intact while frying.""]"
Egg Noodle with Garlic Oil and Minced Meat,Myanmar,breakfast,4,20,25,Medium,,,Springy egg noodles tossed in fragrant garlic oil and topped with savory minced meat sauce.,"[]","[{""name"":""Egg noodles"",""amount"":""500 g""},{""name"":""Ground pork or chicken"",""amount"":""300 g""},{""name"":""Garlic"",""amount"":""8 cloves, minced""},{""name"":""Soy sauce"",""amount"":""2 tbsp""},{""name"":""Oyster sauce"",""amount"":""1 tbsp""},{""name"":""Oil"",""amount"":""3 tbsp""},{""name"":""Green onions"",""amount"":""2 stalks""}]","[""Heat oil and fry garlic until golden; set aside garlic oil."",""Cook minced meat with soy and oyster sauce until done."",""Boil egg noodles and drain."",""Toss noodles with garlic oil and top with minced meat and green onions.""]"
Chicken and Jackfruit Curry,Myanmar,dinner,4,20,43,Medium,389,,"A flavorful Burmese chicken curry cooked with tender jackfruit, aromatics, and traditional spices.","[""pork-free""]","[{""name"":""Chicken pieces"",""amount"":""500 g""},{""name"":""Garlic"",""amount"":""4 cloves""},{""name"":""Ginger"",""amount"":""1 inch piece""},{""name"":""Turmeric"",""amount"":""1 tsp""},{""name"":""Salt"",""amount"":""to taste""},{""name"":""Vegetable oil"",""amount"":""2 tbsp""},{""name"":""Onion"",""amount"":""1 medium, sliced""},{""name"":""Tomato"",""amount"":""1 medium, chopped""},{""name"":""Shrimp paste"",""amount"":""1 tsp""},{""name"":""Tamarind paste"",""amount"":""1 tbsp""},{""name"":""Chili powder"",""amount"":""1 tsp""},{""name"":""Chicken stock"",""amount"":""1 cup""},{""name"":""Sugar"",""amount"":""1 tsp""},{""name"":""Jackfruit (ripe or young)"",""amount"":""1 cup, chopped""},{""name"":""Curry powder"",""amount"":""1 tsp""}]","[""Mix chicken, garlic, ginger, turmeric, and salt; marinate 30 minutes."",""Heat oil; add onion and cook until browned, 2-3 minutes."",""Add tomato, shrimp paste, tamarind, and chili powder; stir 1 minute."",""Add chicken and cook until browned, about 5 minutes."",""Add stock and sugar; cover and simmer 15 minutes."",""Add jackfruit; simmer until tender, about 15 minutes."",""Stir in curry powder; simmer 5 minutes more until chicken is fully cooked.""]"
Spiced pork with green mango (Wettha Thayet Thi Chet),Myanmar,dinner,4,30,180,Medium,,,A rich Burmese pork curry cooked with green mango and aromatic spices.,"[""dairy-free"",""gluten-free"",""pork""]","[{""name"":""Ginger"",""amount"":""6 cm piece, chopped""},{""name"":""Garlic"",""amount"":""4 cloves, chopped""},{""name"":""Onion"",""amount"":""1, chopped""},{""name"":""Shrimp paste (belachan)"",""amount"":""1 tsp""},{""name"":""Peanut oil"",""amount"":""2 tbsp""},{""name"":""Dried chilli flakes"",""amount"":""1 tbsp""},{""name"":""Ground turmeric"",""amount"":""1 tsp""},{""name"":""Pork neck"",""amount"":""1.2 kg, cut into 4 cm pieces""},{""name"":""Green mangoes"",""amount"":""2, peeled, coarsely grated""},{""name"":""Fish sauce"",""amount"":""1 tsp, plus extra to taste""},{""name"":""Chicken stock"",""amount"":""1 litre""},{""name"":""Brown sugar"",""amount"":""to taste""}]","[""Combine ginger, garlic, onion, and shrimp paste to a smooth paste."",""Heat oil; add paste, chilli, and turmeric; stir 1 minute."",""Add pork; coat and cook until golden, about 8 minutes."",""Add mango and fish sauce; stir to combine. Add stock and simmer partially covered ~2.5 hours until tender."",""Uncover and cook 15 minutes until sauce thickens. Season with sugar and extra fish sauce if needed."",""Serve with rice (optional).""]"
Pork curry (Wet Thar Sipyan),Myanmar,dinner,4,15,120,Easy,,,"A traditional Burmese pork curry cooked until the oil returns to the surface, served with steamed white rice.","[""pork""]","[{""name"":""Onion"",""amount"":""1, finely chopped""},{""name"":""Garlic cloves"",""amount"":""5, crushed""},{""name"":""Ginger"",""amount"":""5 cm piece, peeled, grated""},{""name"":""Chilli powder"",""amount"":""2 tsp""},{""name"":""Ground turmeric"",""amount"":""1 tsp""},{""name"":""Paprika"",""amount"":""1 tsp""},{""name"":""Peanut oil"",""amount"":""100 ml""},{""name"":""Tomato paste"",""amount"":""2 tbsp""},{""name"":""Pork belly, boneless"",""amount"":""1 kg, skin removed, diced""},{""name"":""Lemongrass stalk"",""amount"":""1, bruised""},{""name"":""Tamarind pulp concentrate"",""amount"":""100 g""},{""name"":""Fish sauce"",""amount"":""1 tbsp""},{""name"":""Caster sugar"",""amount"":""3 tsp""}]","[""Blend onion, garlic, and ginger to a smooth paste; stir in chilli powder, turmeric, paprika."",""Heat oil; add paste and tomato paste; cook 15 minutes until browned and oil separates."",""Add pork; season. Add lemongrass and 160 ml water; cook uncovered ~1.5 hours until tender."",""Add tamarind, fish sauce, sugar; cook 10 minutes until liquid evaporates and oil returns to the surface."",""Serve with rice.""]"
Green Mango Salad,Myanmar,salad,2,20,0,Easy,,,"A refreshing Burmese salad with green mango, herbs, and fried eschalots.","[]","[{""name"":""Lime juice"",""amount"":""2 tbsp""},{""name"":""Fish sauce"",""amount"":""1 tbsp""},{""name"":""Brown sugar"",""amount"":""2 tsp""},{""name"":""Green mango"",""amount"":""1, peeled, thinly shredded""},{""name"":""Asian red eschalots"",""amount"":""3, thinly sliced""},{""name"":""Long red chilli"",""amount"":""1, seeded, thinly shredded""},{""name"":""Mint leaves"",""amount"":""1/2 cup""},{""name"":""Coriander leaves"",""amount"":""1/2 cup""},{""name"":""Fried Asian red eschalots"",""amount"":""20 g""}]","[""Whisk lime juice, fish sauce, sugar, and 2 tsp water until sugar dissolves."",""Combine mango, eschalots, chilli, mint, coriander in a bowl."",""Add dressing and toss. Top with fried eschalots.""]"
Golden Egg Curry,Myanmar,dinner,4,20,30,Easy,,,"A beautiful Burmese egg curry with golden-fried eggs in a mildly spiced tomato sauce, served with rice.","[""vegetarian"",""gluten-free""]","[{""name"":""Eggs"",""amount"":""4 large""},{""name"":""Peanut or sesame oil"",""amount"":""80 ml""},{""name"":""Turmeric"",""amount"":""1/3 tsp""},{""name"":""Shallots"",""amount"":""2 small""},{""name"":""Garlic"",""amount"":""2 tsp""},{""name"":""Red chilli powder"",""amount"":""1/4 tsp""},{""name"":""Tomatoes"",""amount"":""2 medium""},{""name"":""Fish sauce"",""amount"":""2 tsp""},{""name"":""Salt"",""amount"":""1/2 tsp""},{""name"":""Green cayenne chillies"",""amount"":""2 or 3""}]","[""Boil eggs for 8 minutes; cool and peel."",""Heat oil with turmeric; fry eggs until golden; remove and halve."",""Keep 2–3 tbsp oil; sauté shallots and garlic."",""Add chilli powder and tomatoes; cook 10 minutes until softened."",""Stir in fish sauce and salt; add chillies; place eggs cut-side down and cook 3 minutes."",""Serve with rice.""]"
Minced Beef with Kachin Shalap Leaves,Myanmar,dinner,2,20,30,Easy,,,"A flavorful Kachin dish of minced beef cooked with aromatic shalap leaves, herbs, and spices, served hot.","[""gluten-free"",""dairy-free""]","[{""name"":""Beef"",""amount"":""700 g""},{""name"":""Shalap leaves"",""amount"":""1 bunch""},{""name"":""Coriander seeds"",""amount"":""3 tsp""},{""name"":""Dried chillies"",""amount"":""10""},{""name"":""Peppercorn (Szechuan)"",""amount"":""2 1/2 tsp""},{""name"":""Salt"",""amount"":""1 tsp""},{""name"":""Ginger"",""amount"":""1 tbsp""},{""name"":""Garlic cloves"",""amount"":""3-4""},{""name"":""Chopped coriander"",""amount"":""2 tbsp""},{""name"":""Saw leaf (thorny coriander)"",""amount"":""4-6""},{""name"":""Olive oil"",""amount"":""6 tbsp""},{""name"":""Lemongrass"",""amount"":""1-2""},{""name"":""Fresh chillies"",""amount"":""5""},{""name"":""Chopped mixed herbs"",""amount"":""150 g""},{""name"":""Lemon or lime"",""amount"":""1""},{""name"":""Rice wine"",""amount"":""1 small glass""}]","[""Slice shalap leaves finely."",""Pound spices, salt, ginger, garlic, saw leaf, and coriander into a paste."",""Chop beef finely; add to pan with shalap leaves and paste."",""Add olive oil and rice wine; cover and cook, stirring often, until slightly dry."",""Serve hot with lime.""]"
Crispy Garlic Noodle (Sechet Khao Swel),Myanmar,breakfast,2,15,15,Medium,482,,"Delicious chicken noodles topped with crispy garlic, chicken crackling and quick pickle, fragrant and flavorful.","[""dairy-free""]","[{""name"":""Boneless chicken thigh/breast"",""amount"":""200 g""},{""name"":""Chicken skin"",""amount"":""50 g""},{""name"":""Dry wheat noodles"",""amount"":""120 g""},{""name"":""Garlic cloves"",""amount"":""8-10""},{""name"":""Spring onions"",""amount"":""2-3""},{""name"":""Vegetable oil"",""amount"":""1/3 cup""},{""name"":""Light soy sauce"",""amount"":""2 tbsp""},{""name"":""Oyster sauce"",""amount"":""2 tbsp""},{""name"":""Sesame oil"",""amount"":""1 tsp""},{""name"":""White pepper powder"",""amount"":""1/4 tsp""},{""name"":""Sugar"",""amount"":""1 tbsp""},{""name"":""Shallots"",""amount"":""2""},{""name"":""Red/green chilli"",""amount"":""2""},{""name"":""Cucumber"",""amount"":""1/4""},{""name"":""White vinegar"",""amount"":""1 tbsp""}]","[""Cut chicken and skin into small pieces. Chop garlic and spring onions."",""Fry chicken skin in oil until crispy; set aside."",""Fry garlic in remaining oil until crispy; set aside."",""Boil noodles; drain."",""Stir-fry chicken with sauces until cooked."",""Add noodles and mix until glossy."",""Make quick pickle with shallots, cucumber, chilli, vinegar, soy, sugar."",""Serve topped with crackling, pickle, garlic flakes, spring onions, and garlic oil.""]"
Spicy Chicken Fried Rice,Myanmar,lunch,2,10,10,Easy,415,,"Mouth-watering spicy chicken fried rice with a kick of chilli, popular in Burma, quick and flavorful.","[""dairy-free""]","[{""name"":""Cooked rice"",""amount"":""1 large bowl""},{""name"":""Chicken breast"",""amount"":""150 g""},{""name"":""Carrot"",""amount"":""1""},{""name"":""Green peas/Long beans"",""amount"":""1/2 cup""},{""name"":""Spring onion"",""amount"":""2-3""},{""name"":""Red/Green chilli"",""amount"":""4-5""},{""name"":""Garlic cloves"",""amount"":""2-3""},{""name"":""Shallot/Onion"",""amount"":""1""},{""name"":""Chilli powder/Paprika powder"",""amount"":""1 tsp""},{""name"":""Eggs"",""amount"":""2""},{""name"":""Salt"",""amount"":""1/4 tsp""},{""name"":""Baking powder/soda"",""amount"":""1/4 tsp""},{""name"":""Sesame oil"",""amount"":""1 tsp""},{""name"":""Oyster sauce"",""amount"":""1 tbsp""},{""name"":""Light soy sauce"",""amount"":""1 tbsp""},{""name"":""Sweet soy sauce"",""amount"":""1 tsp""}]","[""Dice chicken and marinate with salt, baking powder, and sesame oil for 2–3 minutes."",""Chop vegetables and aromatics."",""Scramble eggs; set aside."",""Stir-fry shallots and garlic; add chicken and brown lightly."",""Add chilli powder and chopped chilli."",""Add carrots and peas; cook until slightly soft."",""Add rice and sauces; stir-fry 1–2 minutes."",""Add spring onion and egg; mix and serve.""]"
Burmese Century Egg Salad,Myanmar,salad,2,15,0,Easy,,,"Fresh and tangy Burmese salad with century eggs, tomatoes, onions, chilli, and coriander.","[""dairy-free"",""vegetarian"",""gluten-free""]","[{""name"":""Century eggs"",""amount"":""4""},{""name"":""Tomatoes"",""amount"":""2 large""},{""name"":""White onion"",""amount"":""1 large""},{""name"":""Red chilli"",""amount"":""1""},{""name"":""Coriander leaves"",""amount"":""handful""},{""name"":""Lemon juice"",""amount"":""1 tbsp""},{""name"":""Fish sauce"",""amount"":""1 tsp""},{""name"":""MSG"",""amount"":""pinch""},{""name"":""Peanut oil"",""amount"":""1 tsp""}]","[""Peel eggs; scald briefly with boiling water; cool and slice."",""Soak sliced onions in cold water; drain."",""Combine eggs, onion, tomatoes, chilli, coriander."",""Add oil, fish sauce, lemon juice, MSG; toss and serve.""]"
Burmese Rainbow Salad Recipe (Let Thoke Sone),Myanmar,salad,4,20,20,Easy,,,"Colorful Burmese hand-tossed salad with noodles, rice, potatoes, vegetables, peanuts, shrimp, and tamarind dressing.","[""dairy-free"",""gluten-free""]","[{""name"":""Bean thread noodle"",""amount"":""200 g""},{""name"":""Rice"",""amount"":""200 g""},{""name"":""Tomato puree"",""amount"":""1 tbsp""},{""name"":""Tamarind paste"",""amount"":""1 tsp""},{""name"":""Potatoes"",""amount"":""2 medium""},{""name"":""Gram flour"",""amount"":""4 tbsp""},{""name"":""Be bohk/tua nao or tahini-peanut butter"",""amount"":""1 disc or 2 tbsp""},{""name"":""Peanuts"",""amount"":""2 handfuls""},{""name"":""Dried shrimp"",""amount"":""handful""},{""name"":""Carrots"",""amount"":""2 large""},{""name"":""White cabbage leaves"",""amount"":""2""},{""name"":""Green papaya"",""amount"":""1/2""},{""name"":""Coriander leaves"",""amount"":""handful""},{""name"":""Crispy onions"",""amount"":""to garnish""},{""name"":""Chilli oil"",""amount"":""to garnish""},{""name"":""Groundnut oil"",""amount"":""to taste""},{""name"":""Fish sauce"",""amount"":""to taste""}]","[""Cook noodles; set aside."",""Cook rice with tomato puree; set aside."",""Prepare tamarind water/paste."",""Boil potatoes; slice."",""Toast gram flour; cool."",""Grind be bohk/tahini-peanut; set aside."",""Grind dried shrimp; fry peanuts."",""Julienne vegetables."",""Combine all; season with oil and fish sauce; garnish and serve.""]"
Mandalay bean fritters (Mandalay Pel Kyaw),Myanmar,breakfast,4,10,25,Easy,,,"Soft and fluffy Burmese kidney bean fritters with a thin crispy shell, served hot with optional dipping sauce.","[""vegan"",""gluten-free""]","[{""name"":""Red kidney beans"",""amount"":""400 g""},{""name"":""Red onion"",""amount"":""1""},{""name"":""Self-raising flour"",""amount"":""1 tbsp""},{""name"":""Rice flour"",""amount"":""1 tbsp""},{""name"":""Glutinous rice flour"",""amount"":""1 tbsp""},{""name"":""Baking powder"",""amount"":""1 tsp""},{""name"":""Ground ginger"",""amount"":""1 tsp""},{""name"":""Garlic powder"",""amount"":""1 tsp""},{""name"":""Salt"",""amount"":""1/2 tsp""},{""name"":""Vegetable bouillon or MSG"",""amount"":""1/2 tbsp""},{""name"":""Groundnut oil"",""amount"":""for deep-frying""}]","[""Drain and mash kidney beans, leaving a little liquid."",""Add onion and dry ingredients; mix well."",""Heat oil to medium-high."",""Fry spoonfuls 2–4 minutes per side until golden."",""Drain and serve hot.""]"
Burmese Green Tomato Salad,Myanmar,salad,4,15,0,Easy,,,"A fresh and crisp Burmese salad made with green tomatoes, mild chilli, nuts, and toasted gram flour, perfect as a side dish or starter.","[""vegan"",""gluten-free""]","[{""name"":""Green tomatoes"",""amount"":""4""},{""name"":""Green Indian finger chilli"",""amount"":""1""},{""name"":""Red onion or banana shallots"",""amount"":""1/2""},{""name"":""Gram flour"",""amount"":""1 tbsp""},{""name"":""Sesame seeds"",""amount"":""1 tsp""},{""name"":""Broad beans, fried"",""amount"":""1 tbsp""},{""name"":""Peanuts, salted"",""amount"":""1 tbsp""},{""name"":""Fried garlic flakes"",""amount"":""1 tbsp""},{""name"":""Groundnut or vegetable oil"",""amount"":""1 tbsp""},{""name"":""Fish sauce"",""amount"":""1 tbsp""},{""name"":""Lime juice"",""amount"":""1/4 lime""}]","[""Soak sliced onion in cold water 5 minutes; drain."",""Slice green tomatoes; add chilli."",""Toast gram flour in dry pan; cool."",""Combine all ingredients; add oil, fish sauce, and lime; toss and serve.""]"

Mont Lin Ma Yar (Myanmar Street Pancake),Myanmar,breakfast,4,15,20,Easy,,,"Small crispy rice pancakes cooked in a special pan and topped with chickpeas and scallions.","[""vegetarian""]","[{""name"":""Rice flour"",""amount"":""2 cups""},{""name"":""Water"",""amount"":""1 3/4 cups""},{""name"":""Baking powder"",""amount"":""1 tsp""},{""name"":""Salt"",""amount"":""1/2 tsp""},{""name"":""Cooked chickpeas"",""amount"":""1/2 cup""},{""name"":""Spring onions"",""amount"":""2 tbsp, chopped""},{""name"":""Oil"",""amount"":""for pan""}]","[""Whisk rice flour, water, baking powder, and salt into a thin batter."",""Heat Mont Lin Ma Yar pan (or small muffin pan) and oil lightly."",""Pour batter into wells, top with chickpeas and spring onions."",""Cook until edges crisp and centers set; serve hot.""]"
Mont Pyar Tha Let (Burmese Stuffed Pancake),Myanmar,breakfast,4,20,20,Medium,,,"Savory stuffed pancake commonly filled with spiced potato or peas.","[]","[{""name"":""All-purpose flour"",""amount"":""2 cups""},{""name"":""Water"",""amount"":""3/4 cup""},{""name"":""Salt"",""amount"":""1/2 tsp""},{""name"":""Boiled potatoes"",""amount"":""2 cups, mashed""},{""name"":""Onion"",""amount"":""1/2 cup, minced""},{""name"":""Turmeric"",""amount"":""1/2 tsp""},{""name"":""Oil"",""amount"":""2 tbsp + for frying""}]","[""Make a soft dough with flour, salt, and water; rest 15 minutes."",""Sauté onion in oil, add turmeric and mashed potato; season."",""Divide dough, flatten, fill, seal, and pan-fry until golden."",""Serve hot.""]"
Pe Kyaw (Split Pea Fritters),Myanmar,breakfast,4,15,20,Easy,,,"Crispy fritters made from soaked split peas and aromatics.","[""vegan"",""gluten-free""]","[{""name"":""Yellow split peas"",""amount"":""1 1/2 cups""},{""name"":""Onion"",""amount"":""1, chopped""},{""name"":""Garlic"",""amount"":""3 cloves""},{""name"":""Salt"",""amount"":""to taste""},{""name"":""Oil"",""amount"":""for frying""}]","[""Soak peas 4–6 hours; drain."",""Blend peas with onion and garlic into thick paste; season."",""Fry spoonfuls until golden; drain and serve.""]"
Htamin Jin (Fermented Rice),Myanmar,breakfast,4,10,0,Easy,,,"Traditional lightly fermented rice, eaten with crispy fritters or fish.","[""gluten-free""]","[{""name"":""Cooked rice (cooled)"",""amount"":""4 cups""},{""name"":""Salt"",""amount"":""1 tsp""},{""name"":""Warm water"",""amount"":""1/4 cup""}]","[""Mix cooled rice with salt and a splash of warm water."",""Pack into a clean container; cover loosely and ferment 12–24 hours at room temp."",""Serve as a side with savory dishes.""]"
Nga Htamin (Fish Rice),Myanmar,lunch,4,20,20,Medium,,,"Rice mixed with seasoned fish flakes, garlic oil, and herbs.","[""pescatarian""]","[{""name"":""Cooked rice"",""amount"":""4 cups""},{""name"":""Cooked fish (flaked)"",""amount"":""300 g""},{""name"":""Garlic"",""amount"":""5 cloves, sliced""},{""name"":""Oil"",""amount"":""3 tbsp""},{""name"":""Fish sauce"",""amount"":""1–2 tbsp""},{""name"":""Cilantro"",""amount"":""1 handful""}]","[""Fry garlic in oil until golden; reserve garlic oil."",""Mix rice with fish, fish sauce, garlic oil, and cilantro."",""Top with crispy garlic and serve.""]"
Danbauk (Burmese Chicken Biryani),Myanmar,lunch,6,40,60,Hard,,,"Fragrant Burmese biryani-style rice served with spiced chicken and salad.","[]","[{""name"":""Basmati rice"",""amount"":""3 cups""},{""name"":""Chicken"",""amount"":""800 g""},{""name"":""Onion"",""amount"":""2, sliced""},{""name"":""Garlic"",""amount"":""6 cloves""},{""name"":""Ginger"",""amount"":""2-inch piece""},{""name"":""Biryani spice mix"",""amount"":""2 tbsp""},{""name"":""Oil"",""amount"":""4 tbsp""},{""name"":""Salt"",""amount"":""to taste""}]","[""Fry onions until browned; set aside."",""Cook chicken with ginger, garlic, spices, salt, and a little water until tender."",""Parboil rice, then steam rice with chicken gravy and browned onions until aromatic."",""Serve with salad or pickles.""]"
Nga Baung (Steamed Fish in Banana Leaf),Myanmar,dinner,4,20,30,Medium,,,"Fish steamed in banana leaves with aromatics and herbs.","[""pescatarian"",""gluten-free""]","[{""name"":""Fish fillets"",""amount"":""500 g""},{""name"":""Garlic"",""amount"":""4 cloves""},{""name"":""Ginger"",""amount"":""1-inch piece""},{""name"":""Lemongrass"",""amount"":""1 stalk""},{""name"":""Fish sauce"",""amount"":""1–2 tbsp""},{""name"":""Banana leaves"",""amount"":""for wrapping""}]","[""Mix minced garlic, ginger, and lemongrass with fish sauce."",""Coat fish with mixture; wrap in banana leaves."",""Steam 20–25 minutes until cooked through; serve hot.""]"
Burmese Pumpkin Curry,Myanmar,dinner,4,15,25,Easy,,,"Tender pumpkin simmered with garlic, turmeric, and mild spices.","[""vegan"",""gluten-free""]","[{""name"":""Pumpkin"",""amount"":""600 g, cubed""},{""name"":""Garlic"",""amount"":""4 cloves""},{""name"":""Turmeric"",""amount"":""1/2 tsp""},{""name"":""Oil"",""amount"":""2 tbsp""},{""name"":""Salt"",""amount"":""to taste""}]","[""Sauté garlic in oil; add turmeric."",""Add pumpkin and salt with a splash of water."",""Simmer until pumpkin is tender and glossy; serve.""]"
Tamarind Prawn Curry,Myanmar,dinner,4,15,20,Easy,,,"Tangy prawn curry flavored with tamarind, garlic, and chili.","[""pescatarian"",""gluten-free""]","[{""name"":""Prawns"",""amount"":""400 g""},{""name"":""Tamarind paste"",""amount"":""2 tbsp""},{""name"":""Garlic"",""amount"":""5 cloves""},{""name"":""Chili powder"",""amount"":""1/2 tsp""},{""name"":""Fish sauce"",""amount"":""1 tbsp""},{""name"":""Oil"",""amount"":""2 tbsp""}]","[""Sauté garlic in oil; add chili powder."",""Add prawns and cook until pink."",""Stir in tamarind and fish sauce with a splash of water; simmer 3–5 minutes and serve.""]"
Ngapi Yay (Fermented Fish Dip),Myanmar,dinner,4,10,10,Easy,,,"Fermented fish paste dip served with fresh vegetables, lime, and chili.","[""pescatarian"",""gluten-free""]","[{""name"":""Ngapi (fermented fish paste)"",""amount"":""2 tbsp""},{""name"":""Lime juice"",""amount"":""1 tbsp""},{""name"":""Garlic"",""amount"":""1 clove, minced""},{""name"":""Chili"",""amount"":""to taste""},{""name"":""Veggie sticks"",""amount"":""as needed""}]","[""Mix ngapi with lime, garlic, and chili."",""Adjust with a splash of water to desired dip consistency."",""Serve with vegetables.""]"
Gin Thoke (Ginger Salad),Myanmar,salad,4,15,0,Easy,,,"Crunchy ginger salad with peanuts, sesame, and lime dressing.","[""vegan"",""gluten-free""]","[{""name"":""Young ginger"",""amount"":""1/2 cup, shredded""},{""name"":""Cabbage"",""amount"":""2 cups, shredded""},{""name"":""Roasted peanuts"",""amount"":""1/3 cup""},{""name"":""Sesame seeds"",""amount"":""1 tbsp""},{""name"":""Lime juice"",""amount"":""2 tbsp""},{""name"":""Oil"",""amount"":""1 tbsp""},{""name"":""Salt"",""amount"":""to taste""}]","[""Toss ginger and cabbage."",""Add lime juice, oil, and salt; mix."",""Top with peanuts and sesame; serve.""]"
Khayan Chin Thoke (Tomato Salad),Myanmar,salad,4,10,0,Easy,,,"Fresh tomato salad dressed with lime and savory seasoning.","[]","[{""name"":""Tomatoes"",""amount"":""2 cups, chopped""},{""name"":""Onion"",""amount"":""1/2 cup, sliced""},{""name"":""Lime juice"",""amount"":""1–2 tbsp""},{""name"":""Fish sauce (or soy sauce)"",""amount"":""1 tbsp""},{""name"":""Chili"",""amount"":""optional""}]","[""Combine tomatoes and onion."",""Dress with lime and fish sauce (or soy)."",""Add chili if desired; serve.""]"
Burmese Avocado Salad,Myanmar,salad,4,10,0,Easy,,,"Creamy avocado salad with lime, onion, and chili.","[""vegan"",""gluten-free""]","[{""name"":""Avocado"",""amount"":""2, cubed""},{""name"":""Red onion"",""amount"":""1/3 cup, sliced""},{""name"":""Lime juice"",""amount"":""2 tbsp""},{""name"":""Salt"",""amount"":""to taste""},{""name"":""Chili flakes"",""amount"":""to taste""}]","[""Toss avocado with onion, lime, salt, and chili."",""Serve immediately.""]"
